,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
15,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
16,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
17,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
18,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
19,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
20,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
21,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
22,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
23,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
24,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
25,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
26,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
27,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
28,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
29,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
30,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
31,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
32,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
33,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
34,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
35,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,131.95,1.0,131.95,131.95,131.95,131.95,131.95,131.95,131.95,,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,131.95,N/A
