,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
0,2006-12-06 22:28:27,1165424307.0,utx,0.438,64.96,0.0,1412.900024,0.0,0.0
1,2008-01-23 15:43:32,1201083212.0,utx,0.46,70.15,7.989532019704453,1338.599976,-5.258691113165418,13.248223132869871
2,2004-06-23 15:24:53,1087984493.0,utx,0.414,88.04,35.52955665024633,1144.060059,-19.027529225946147,54.557085876192474
3,2007-06-07 21:36:50,1181232410.0,utx,0.456,68.87,6.019088669950756,1490.719971,5.50781694940363,0.5112717205471258
4,2007-10-25 06:56:29,1193275589.0,utx,0.46,76.49,17.749384236453206,1514.400024,7.183806233695697,10.565578002757508
5,2007-07-09 23:08:48,1184002728.0,utx,0.456,72.52,11.637931034482763,1531.849976,8.418851297294616,3.2190797371881477
6,2005-05-02 20:25:03,1115045703.0,utx,0.33,101.46,56.188423645320206,1162.160034,-17.746477864027558,73.93490150934777
7,2005-02-04 06:11:13,1107477673.0,utx,0.399,100.5,54.71059113300494,1203.030029,-14.853846092085565,69.5644372250905
8,2004-04-12 01:06:46,1081712206.0,utx,0.453,89.8,38.238916256157644,1145.199951,-18.94685175545018,57.18576801160782
9,2007-02-23 09:54:57,1172204697.0,utx,0.459,67.5,3.9100985221674973,1451.189941,2.7100230978550863,1.200075424312411
10,2003-11-03 14:07:56,1067848676.0,nfx,0.549,39.73,0.0,1059.02002,0.0,0.0
11,2004-10-20 17:20:26,1098273026.0,nfx,0.383,61.2,54.03976843694943,1103.660034,4.215219085282266,49.824549351667166
12,2008-04-10 04:38:59,1207782539.0,nfx,0.293,56.95,43.34256229549461,1360.550049,28.472552294148322,14.870010001346287
13,2005-04-12 22:31:08,1113325268.0,nfx,0.492,74.6,87.76743015353638,1187.76001,12.156520893722107,75.61090925981428
14,2007-02-20 06:13:02,1171932182.0,fdx,0.256,117.05,0.0,1459.680054,0.0,0.0
15,2007-04-12 12:22:40,1176360760.0,fdx,0.256,107.21,-8.406663818880823,1447.800049,-0.813877326572004,-7.592786492308819
16,2004-08-03 14:18:06,1091522886.0,fdx,0.446,82.77,-29.286629645450663,1099.689941,-24.662261569822057,-4.624368075628606
17,2009-02-06 21:40:58,1233936658.0,fdx,0.13,55.27,-52.78086287911149,868.599976,-40.49381070737026,-12.28705217174123
18,2008-01-24 15:47:45,1201169865.0,fdx,0.155,87.86,-24.93806065783853,1352.069946,-7.372170888073247,-17.565889769765285
19,2005-04-05 00:22:23,1112640743.0,fdx,0.374,92.88,-20.649295173002994,1181.390015,-19.06513953091257,-1.5841556420904226
20,2004-06-23 02:27:41,1087937861.0,fdx,0.518,78.43,-32.99444681759931,1144.060059,-21.622546265196828,-11.371900552402483
21,2006-04-27 01:52:10,1146082930.0,fdx,0.224,114.31,-2.3408799658265655,1309.719971,-10.273489905480337,7.932609939653772
22,2006-04-21 11:12:45,1145598165.0,fdx,0.224,115.28,-1.5121742844938026,1311.280029,-10.166613196730022,8.65443891223622
23,2007-07-03 02:24:44,1183409684.0,fdx,0.209,110.79,-5.348141819735148,1524.869995,4.466043145644031,-9.81418496537918
24,2004-04-23 18:38:24,1082725704.0,fdx,0.518,74.27,-36.548483554036736,1140.599976,-21.859590197565307,-14.688893356471429
25,2003-11-03 18:52:49,1067865769.0,fdx,0.286,76.32,-34.79709525843657,1059.02002,-27.448483172874816,-7.348612085561754
26,2005-08-30 23:25:37,1125424537.0,fdx,0.292,81.37,-30.48269970098248,1208.410034,-17.214047647731984,-13.268652053250495
27,2008-04-17 09:41:01,1208405461.0,fdx,0.143,97.03,-17.10380179410508,1365.560059,-6.447988019160808,-10.655813774944274
28,2007-03-28 17:42:58,1175083978.0,fdx,0.251,108.5644,-7.249551473729168,1417.22998,-2.908176616079174,-4.341374857649994
29,2005-01-26 07:59:07,1106706547.0,apol,0.0,77.4,0.0,1174.069946,0.0,0.0
30,2005-04-13 19:34:15,1113401055.0,apol,0.0,74.99,-3.11369509043929,1173.790039,-0.02384074313065619,-3.089854347308634
31,2005-03-08 20:47:43,1110295063.0,apol,0.0,76.22,-1.52454780361758,1219.430054,3.8634928144221363,-5.3880406180397165
32,2004-11-23 18:50:38,1101216038.0,apol,0.034,75.67,-2.2351421188630543,1176.939941,0.24444838314599165,-2.479590502009046
33,2005-09-28 17:36:43,1127909203.0,apol,0.0,66.57,-13.99224806201552,1216.890015,3.6471480379755734,-17.639396099991092
34,2005-05-27 09:09:06,1117165146.0,apol,0.0,77.8,0.5167958656330639,1198.780029,2.1046516933838575,-1.5878558277507935
35,2004-09-23 16:30:11,1095937211.0,jci,0.462,54.84,0.0,1108.359985,0.0,0.0
36,2007-04-04 17:14:56,1175687096.0,jci,0.645,96.6,76.1487964989059,1439.369995,29.86484666351429,46.28394983539161
37,2006-02-07 09:04:55,1139283295.0,jci,0.867,67.99,23.978847556528066,1254.780029,13.210513369444671,10.768334187083395
38,2004-12-17 09:50:00,1103257200.0,jci,0.513,61.67,12.454412837345,1194.199951,7.744773102756863,4.709639734588137
39,2006-08-29 06:05:05,1156811705.0,jci,0.726,71.44,30.269876002917567,1304.280029,17.67657138939385,12.593304613523717
40,2003-10-27 11:00:35,1067232635.0,jci,0.546,104.5,90.55433989788474,1031.130005,-6.96795094059626,97.522290838481
41,2004-04-23 21:23:45,1082735625.0,jci,0.541,58.67,6.983953318745438,1140.599976,2.9088014215886653,4.075151897156772
42,2007-12-21 11:57:36,1198218456.0,jci,0.496,35.91,-34.51859956236325,1484.459961,33.93301644681804,-68.4516160091813
43,2008-12-18 08:14:10,1229568250.0,jci,0.419,17.78,-67.57840991976659,885.2800289999999,-20.127030840074955,-47.451379079691634
44,2006-01-04 07:44:01,1136340841.0,jci,0.387,74.1,35.12035010940917,1273.459961,14.895880240570031,20.224469868839144
45,2005-02-07 03:21:05,1107726665.0,l,0.403,10.48,0.0,1201.719971,0.0,0.0
46,2008-10-16 20:13:54,1224168234.0,l,0.441,32.51,210.20992366412213,946.429993,-21.243716020427193,231.45363968454933
47,2005-05-27 12:43:28,1117178008.0,l,0.349,10.47,-0.09541984732824223,1198.780029,-0.24464451544010946,0.14922466811186724
48,2005-01-19 17:19:18,1106135358.0,l,0.403,10.5,0.19083969465648445,1184.630005,-1.4221254878354688,1.6129651824919533
49,2006-05-08 00:34:49,1147028689.0,l,0.405,8.7,-16.98473282442749,1324.660034,10.2303420070232,-27.21507483145069
50,2004-10-18 20:48:16,1098112696.0,xom,0.105,48.75,0.0,1114.02002,0.0,0.0
51,2008-12-17 05:06:10,1229470570.0,xom,0.082,83.14,70.54358974358973,904.419983,-18.814745986342324,89.35833572993207
52,2005-02-07 04:23:37,1107730417.0,xom,0.106,55.29,13.415384615384612,1201.719971,7.872385542945634,5.542999072438978
53,2008-10-28 14:50:36,1225185636.0,xom,0.077,68.8,41.12820512820512,940.51001,-15.575124942548157,56.703330070753275
54,2005-12-20 11:46:55,1135059415.0,xom,0.078,57.7,18.358974358974365,1259.619995,13.06978082853485,5.2891935304395155
